feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
RXN.14025...expasy..5.nucleotidase..3.1.3.5..unclassified.39.023024.9.904189.8.015672.19.54993.12.471494.11.539587.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..g__Acetatifactor.s__Acetatifactor_muris.1.016428.0.279774.1.278787.0.660687.0.7857.1.309496.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..g__Bacteroides.s__Bacteroides_thetaiotaomicron.8.53287.0.0.0.2.54639.0.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..g__Enterococcus.s__Enterococcus_faecalis.0.0.25923.0.326283.0.0.0.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..g__Lactobacillus.s__Lactobacillus_johnsonii.31.3787.2.51687.2.64098.0.7.50567.9.73414.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..g__Parasutterella.s__Parasutterella_excrementihominis.1.68912.0.0.0.0.0.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..g__Phyllobacterium.s__Phyllobacterium_myrsinacearum.0.0.0.0.0.0.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..g__Romboutsia.s__Romboutsia_ilealis.0.466729.0.0.0.0.0.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..g__Staphylococcus.s__Staphylococcus_nepalensis.0.0.305966.0.480091.0.0.0.0900084.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..g__Staphylococcus.s__Staphylococcus_xylosus.3.13398.4.504774.2.437671.0.0.1.428802.RXN.14026...expasy..AMBIGUOUS..3.1.3.5..3.1.3.91..unclassified.39.023024.9.904189.8.015672.19.54993.12.471494.11.539587.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Acetatifactor.s__Acetatifactor_muris.1.17722.0.311302.0.59824.0.343595.1.696869.0.824319.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Acutalibacter.s__Acutalibacter_muris.0.351112.0.0.0.0.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012.0.1.07226.0.0.863314.0.0.433485.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Bacteroides.s__Bacteroides_thetaiotaomicron.9.8168.0.0.0.1.08015.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Clostridium.s__Clostridium_sp_ASF356.0.0.315588.0.646775.0.0.0.795527.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Clostridium.s__Clostridium_sp_ASF502.1.748143.1.068749.0.636889.0.171893.0.769086.0.390791.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Dorea.s__Dorea_sp_5_2.0.170721.0.0.0.0.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Enterococcus.s__Enterococcus_faecalis.0.0.0.200326.0.0.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Enterorhabdus.s__Enterorhabdus_caecimuris.0.86972.0.0.0.0.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Erysipelatoclostridium.s__Clostridium_cocleatum.0.0.270667.0.339794.0.0.322868.0.143227.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Faecalibaculum.s__Faecalibaculum_rodentium.6.31964.0.0.0.0.802814.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Jeotgalicoccus.s__Jeotgalicoccus_halotolerans.0.0.0.0.0.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1.0.251536.0.0.0.0.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4.0.14.51189.11.44234.6.24719.4.90533.20.4584.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2.0.409886.0.0.291252.0.0.403585.0.738627.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2.0.509797.0.0.0.0.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4.1.77723.1.25158.1.35581.0.604533.5.44293.3.54373.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_M18_1.0.0816707.0.963672.0.387288.0.504553.0.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Oscillibacter.s__Oscillibacter_sp_1_3.0.772186.1.574442.0.509025.2.750255.2.139745.1.997384.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Phyllobacterium.s__Phyllobacterium_myrsinacearum.0.0.0.0.0.0.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Staphylococcus.s__Staphylococcus_lentus.0.504266.7.93596.6.06585.0.0.1.03405.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Staphylococcus.s__Staphylococcus_nepalensis.0.100853.0.532666.0.573175.0.0.0.517068.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..g__Staphylococcus.s__Staphylococcus_xylosus.1.15981.2.66305.3.34318.0.0.0.893034.RXN.14029...expasy..Purine.nucleoside.phosphorylase..2.4.2.1..unclassified.91.9865432.69.9546729.72.068435.102.6218142.99.428974.98.450223.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Adlercreutzia.s__Adlercreutzia_equolifaciens.0.0789722.0.143006.0.0641171.0.195723.0.159924.0.0736155.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Akkermansia.s__Akkermansia_muciniphila.7.1474.2.57411.2.71008.7.68254.1.78201.2.69748.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Asaccharobacter.s__Asaccharobacter_celatus.0.101779.0.191169.0.0856942.0.207733.0.178118.0.115959.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Bacteroides.s__Bacteroides_thetaiotaomicron.8.53557.0.0.0.1.27833.0.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Bifidobacterium.s__Bifidobacterium_pseudolongum.14.65783.0.164087.0.1.37015.3.47786.0.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Corynebacterium.s__Corynebacterium_ammoniagenes.0.0.0.0.0.0.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Corynebacterium.s__Corynebacterium_stationis.0.0.0.0.0.0.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Enterorhabdus.s__Enterorhabdus_caecimuris.1.69428.0.0715978.0.0856045.0.126796.0.284649.0.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Jeotgalicoccus.s__Jeotgalicoccus_halotolerans.0.0.490532.0.387505.0.0.0.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Phyllobacterium.s__Phyllobacterium_myrsinacearum.0.0.459807.0.0.0.0.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Sphingomonas.s__Sphingomonas_sp_FARSPH.0.223236.0.0.0.0.0.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Staphylococcus.s__Staphylococcus_lentus.0.232747.7.22333.7.28559.0.0.0.723156.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Staphylococcus.s__Staphylococcus_nepalensis.0.0.234148.0.703346.0.0.0.206625.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..g__Staphylococcus.s__Staphylococcus_xylosus.2.34125.1.99251.2.22819.0.0.0.879171.RXN.14047...expasy..Aconitate.hydratase..4.2.1.3..unclassified.2.611415.2.572947.3.90317.3.662325.3.06391.2.576762.RXN.1404...expasy..Nitrilase..3.5.5.1..unclassified.0.307917.0.361151.0.0.174771.0.700751.0.RXN.14063...expasy..Adenosylcobinamide.kinase..2.7.1.156..g__Phyllobacterium.s__Phyllobacterium_myrsinacearum.0.0.398083.0.0.0.0..RXN.14064...expasy..2.3.cyclic.nucleotide.2.phosphodiesterase..3.1.4.16..unclassified.0.444405.0.0.0.0.72255.0.44098.RXN.14073...expasy..Glycerophosphodiester.phosphodiesterase..3.1.4.46..g__Acetatifactor.s__Acetatifactor_muris.0.539983.0.567748.0.509105.1.14687.0.846554.0.68321.RXN.14073...expasy..Glycerophosphodiester.phosphodiesterase..3.1.4.46..g__Bacteroides.s__Bacteroides_thetaiotaomicron.6.92125.0.0.0.1.25495.0.RXN.14073...expasy..Glycerophosphodiester.phosphodiesterase..3.1.4.46..g__Lactobacillus.s__Lactobacillus_johnsonii.26.96.1.43785.1.94251.0.7.15595.11.3709.RXN.14073...expasy..Glycerophosphodiester.phosphodiesterase..3.1.4.46..g__Staphylococcus.s__Staphylococcus_nepalensis.0.1.2942558.1.116036.0.0.0.RXN.14073...expasy..Glycerophosphodiester.phosphodiesterase..3.1.4.46..g__Staphylococcus.s__Staphylococcus_xylosus.10.68766.13.118685.11.832186.0.0.4.6066.RXN.14073...expasy..Glycerophosphodiester.phosphodiesterase..3.1.4.46..unclassified.0.459054.0.403547.0.606147.1.499239.1.128068.1.147201.RXN.14089...expasy..Non.reducing.end.beta.L.arabinofuranosidase..3.2.1.185..g__Acetatifactor.s__Acetatifactor_muris.0.0.0.0.297187.0.55524.0.457198.RXN.14089...expasy..Non.reducing.end.beta.L.arabinofuranosidase..3.2.1.185..g__Bacteroides.s__Bacteroides_thetaiotaomicron.5.52141.0.0.0.1.12909.0.RXN.14089...expasy..Non.reducing.end.beta.L.arabinofuranosidase..3.2.1.185..unclassified.2.280837.3.646512.3.623732.5.07622.6.67481.5.194722.RXN.14090...expasy..3..nucleotidase..3.1.3.6..unclassified.0.367863.0.0.0.0.0.RXN.14091...expasy..2.3.cyclic.nucleotide.2.phosphodiesterase..3.1.4.16..unclassified..0.444405.0.0.0.0.72255.0.44098.RXN.14098...expasy..Deoxycytidine.kinase..2.7.1.74..g__Staphylococcus.s__Staphylococcus_nepalensis.0.0.465927.1.2531.0.0.0.154188.RXN.14098...expasy..Deoxycytidine.kinase..2.7.1.74..g__Staphylococcus.s__Staphylococcus_xylosus.2.70154.3.95959.2.2973.0.0.1.02782.RXN.14099...expasy..Deoxycytidine.kinase..2.7.1.74..g__Staphylococcus.s__Staphylococcus_nepalensis.0.0.465927.1.2531.0.0.0.154188.RXN.14099...expasy..Deoxycytidine.kinase..2.7.1.74..g__Staphylococcus.s__Staphylococcus_xylosus.2.70154.3.95959.2.2973.0.0.1.02782.RXN.14100...expasy..Deoxycytidine.kinase..2.7.1.74..g__Staphylococcus.s__Staphylococcus_nepalensis.0.0.465927.1.2531.0.0.0.154188.RXN.14100...expasy..Deoxycytidine.kinase..2.7.1.74..g__Staphylococcus.s__Staphylococcus_xylosus.2.70154.3.95959.2.2973.0.0.1.02782.RXN.14102...expasy..Aldose.reductase..1.1.1.21..g__Lactobacillus.s__Lactobacillus_johnsonii.18.828.2.85443.1.05933.0.4.99224.9.55639.RXN.14102...expasy..Aldose.reductase..1.1.1.21..unclassified.0.0.265617.0.310416.0.0.0..RXN.14112...expasy..2.3.cyclic.nucleotide.2.phosphodiesterase..3.1.4.16..unclassified.0.444405.0.0.0.0.72255.0.44098.RXN.14113...expasy..2.3.cyclic.nucleotide.2.phosphodiesterase..3.1.4.16..unclassified..0.444405.0.0.0.0.72255.0.44098.RXN.14115...expasy..3.nucleotidase..3.1.3.6..unclassified	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.14124...expasy..3.nucleotidase..3.1.3.6..unclassified.0.367863.0.0.0.0.0.RXN.14126...expasy..3.nucleotidase..3.1.3.6..unclassified	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.14354...expasy..4.alpha.glucanotransferase..2.4.1.25..g__Dorea.s__Dorea_sp_5_2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.14385...expasy..Cysteine.desulfurase..2.8.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.15881...expasy..Cysteine.desulfurase..2.8.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.15889...expasy..Holo..acyl.carrier.protein..synthase..2.7.8.7..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.16759...expasy..Holo..acyl.carrier.protein..synthase..2.7.8.7..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.17873...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.17874...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.17875...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.17876...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.17877...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.17878...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.18082...expasy..Beta.N.acetylhexosaminidase..3.2.1.52..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.1828...expasy..4.alpha.glucanotransferase..2.4.1.25..g__Dorea.s__Dorea_sp_5_2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.19477...expasy..Holo..acyl.carrier.protein..synthase..2.7.8.7..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.19493...expasy..Holo..acyl.carrier.protein..synthase..2.7.8.7..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.19947...expasy..AMBIGUOUS..2.4.1.25..3.2.1.33..g__Dorea.s__Dorea_sp_5_2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.20037...expasy..Cysteine.desulfurase..2.8.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.21432...expasy..Beta.N.acetylhexosaminidase..3.2.1.52..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.21560...expasy..Cysteine.desulfurase..2.8.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.21566...expasy..Cysteine.desulfurase..2.8.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.8975...expasy..Phospho.N.acetylmuramoyl.pentapeptide.transferase..2.7.8.13..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.9023...expasy..4.alpha.glucanotransferase..2.4.1.25..g__Dorea.s__Dorea_sp_5_2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN.9787...metacyc..cysteine..ThiI.sulfur.carrier.protein..L.cysteine.sulfurtransferase.desulfurase..2.8.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
RXN0.1321...expasy..tRNA.guanosine.34..preQ.1..transglycosylase..2.4.2.29..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	0	6	1	0	0
RXN0.2361...expasy..diaminoheptanedioate.ligase..6.3.2.45..g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	Condition	[T.Infected]	-1	0	6	1	0	0
RXN0.6948...expasy..Amino.acid.N.acetyltransferase..2.3.1.1..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	0	6	1	0	0
RXN0.7022...expasy..diaminoheptanedioate.ligase..6.3.2.45..g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	Condition	[T.Infected]	-1	0	6	1	0	0
RXN0.7192...expasy..Biotin...biotin.carboxyl.carrier.protein..ligase..6.3.4.15..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
VALINE..TRNA.LIGASE.RXN...expasy..Valine..tRNA.ligase..6.1.1.9..g__Romboutsia.s__Romboutsia_ilealis	Condition	[T.Infected]	-1	0	6	1	0	0
X3.DEHYDROQUINATE.DEHYDRATASE.RXN...expasy..3.dehydroquinate.dehydratase..4.2.1.10..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	1.52023548612203e-17	6	1	3.20475411419393e-67	9.05546976157962e-65
AMINOCYL.TRNA.HYDROLASE.RXN...expasy..Aminoacyl.tRNA.hydrolase..3.1.1.29..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
CARBPSYN.RXN...expasy..Carbamoyl.phosphate.synthase..glutamine.hydrolyzing...6.3.5.5..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
DIAMINOPIMEPIM.RXN...expasy..Diaminopimelate.epimerase..5.1.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
DIHYDROOROTATE.DEHYDROGENASE.RXN...expasy..Dihydroorotate.dehydrogenase..quinone...1.3.5.2..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
GLYRIBONUCSYN.RXN...expasy..Phosphoribosylamine..glycine.ligase..6.3.4.13..g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
HOMOSERDEHYDROG.RXN...expasy..Homoserine.dehydrogenase..1.1.1.3..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
ISOLEUCINE..TRNA.LIGASE.RXN...expasy..Isoleucine..tRNA.ligase..6.1.1.5..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
LYSINE..TRNA.LIGASE.RXN...expasy..Lysine..tRNA.ligase..6.1.1.6..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
MCPMETEST.RXN...expasy..Protein.glutamate.methylesterase..3.1.1.61..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
P.PANTOCYSDECARB.RXN...expasy..Phosphopantothenoylcysteine.decarboxylase..4.1.1.36..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
P.PANTOCYSLIG.RXN...expasy..Phosphopantothenate..cysteine.ligase..CTP...6.3.2.5..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
RXN.16637...expasy..Aminoacyl.tRNA.hydrolase..3.1.1.29..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
RXN.19726...expasy..D.aminoacyl.tRNA.deacylase..3.1.1.96..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
RXN.19727...expasy..D.aminoacyl.tRNA.deacylase..3.1.1.96..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
RXN.19728...expasy..D.aminoacyl.tRNA.deacylase..3.1.1.96..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
RXN.19729...expasy..D.aminoacyl.tRNA.deacylase..3.1.1.96..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
RXN.8764...expasy..Cobalt.precorrin.5B..C.1...methyltransferase..2.1.1.195..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
RXN0.6491...metacyc..dihydroorotate.dehydrogenase..1.3.5.2..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
RXN0.6554...expasy..Dihydroorotate.dehydrogenase..quinone...1.3.5.2..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
RXN0.6727...expasy..ADP.dependent.NAD.P.H.hydrate.dehydratase..4.2.1.136..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	3.04047097224406e-17	6	1	5.12760658271018e-66	1.06250845202532e-63
AICARTRANSFORM.RXN...expasy..Phosphoribosylaminoimidazolecarboxamide.formyltransferase..2.1.2.3..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	3.3993498887763e-17	6	1	8.01188528548487e-66	1.46485540260848e-63
