"name"	"taxRank"	"taxID"	"Max"	"X1..BL60N.cladeReads"	"X2..BL63DP.cladeReads"	"X3..BL67DP.cladeReads"	"X4..BL610DP.cladeReads"	"X6..BL613DP.cladeReads"	"X7..BL616DP.cladeReads"	"lineage"
"Ruminiclostridium thermocellum"	"S"	1515	1849	1849	1148	1221	1503	1279	1039	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminiclostridium"
"[Clostridium] stercorarium"	"S"	1510	1831	1831	1063	1124	1258	1181	802	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminiclostridium"
"[Clostridium] clariflavum"	"S"	288965	1591	1591	1141	1076	1317	1117	1157	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminiclostridium"
"[Clostridium] cellulosi"	"S"	29343	1447	1447	1166	1092	1413	1362	1094	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminiclostridium"
"[Clostridium] cellulolyticum"	"S"	1521	1114	1112	821	927	1114	1049	1061	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminiclostridium"
"Ruminococcus bicirculans"	"S"	1160721	6464	6464	3545	4838	5991	4249	3843	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminococcus"
"Ruminococcus albus"	"S"	1264	3631	3631	2355	2548	3038	2643	2616	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminococcus"
"Ethanoligenens harbinense"	"S"	253239	5309	5309	2696	3480	3641	3627	2180	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ethanoligenens"
"Mageeibacillus indolicus"	"S"	884684	758	758	497	660	725	627	451	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Mageeibacillus"
"Flavonifractor plautii"	"S"	292800	61566	61566	33745	47423	45960	49248	33587	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales>Flavonifractor"
"Intestinimonas butyriciproducens"	"S"	1297617	29075	29075	15340	21386	21731	22264	14731	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales>Intestinimonas"
"Gottschalkia acidurici"	"S"	1556	1547	666	815	822	1164	865	1547	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>unclassified&nbsp;Clostridiales>Gottschalkia"
"Clostridium sp. SY8519"	"S"	1042156	17138	17138	7911	9315	10984	9188	5090	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium botulinum"	"S"	1491	7598	3166	4039	4393	6307	4847	7598	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium pasteurianum"	"S"	1501	4800	2918	2792	3540	4800	3240	4053	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium carboxidivorans"	"S"	217159	1830	1507	1119	1350	1767	1304	1830	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium kluyveri"	"S"	1534	1475	1350	996	1134	1475	1356	1306	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium saccharoperbutylacetonicum"	"S"	36745	2015	1273	1309	1463	2015	1414	1968	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium beijerinckii"	"S"	1520	2064	1194	1242	1255	1826	1414	2064	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium sp. BNL1100"	"S"	755731	1274	1194	985	992	1274	862	902	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium bornimense"	"S"	1216932	2712	1153	1380	1644	2125	1697	2712	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium butyricum"	"S"	1492	2065	1089	1208	1344	1846	1742	2065	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium saccharobutylicum"	"S"	169679	2216	1060	941	1194	1626	1309	2216	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium tetani"	"S"	1513	2148	1026	1182	1189	1565	1291	2148	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium scatologenes"	"S"	1548	1886	952	1024	1183	1615	1181	1886	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium perfringens"	"S"	1502	2792	946	1479	1675	2357	1835	2792	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium cellulovorans"	"S"	1493	1402	913	906	955	1347	1097	1402	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium aceticum"	"S"	84022	928	789	761	676	928	737	794	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium formicaceticum"	"S"	1497	788	788	704	582	773	609	653	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium tyrobutyricum"	"S"	1519	1002	748	692	707	937	701	1002	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium acetobutylicum"	"S"	1488	1524	726	759	839	1137	851	1524	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium taeniosporum"	"S"	394958	1489	641	864	889	1258	1022	1489	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium baratii"	"S"	1561	2040	586	1071	1060	1454	1336	2040	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium sporogenes"	"S"	1509	1008	585	585	659	831	667	1008	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium novyi"	"S"	1542	1371	451	471	776	1021	762	1371	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium autoethanogenum"	"S"	84023	316	192	213	226	316	202	296	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium ljungdahlii"	"S"	1538	193	125	121	119	193	99	159	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Geosporobacter ferrireducens"	"S"	1424294	2193	2193	1798	1649	1937	1594	1270	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Geosporobacter"
"Alkaliphilus metalliredigens"	"S"	208226	1225	950	856	917	1225	839	840	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Alkaliphilus"
"Alkaliphilus oremlandii"	"S"	461876	749	746	659	613	749	653	644	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Alkaliphilus"
"Candidatus Arthromitus sp. SFB-rat-Yit"	"S"	1041504	528	255	257	300	469	378	528	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Candidatus&nbsp;Arthromitus"
"Candidatus Arthromitus sp. SFB-mouse-NL"	"S"	1508644	44	11	20	18	44	16	23	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Candidatus&nbsp;Arthromitus"
"Candidatus Arthromitus sp. SFB-mouse"	"S"	49118	42	7	3	12	20	25	42	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Candidatus&nbsp;Arthromitus"
"Oscillibacter valericigenes"	"S"	351091	24688	24688	13181	15980	15905	17372	11483	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Oscillospiraceae>Oscillibacter"
"Desulfotomaculum ruminis"	"S"	1564	1475	1475	886	980	1222	902	560	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfotomaculum kuznetsovii"	"S"	58135	1468	1468	733	907	910	990	551	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfotomaculum gibsoniae"	"S"	102134	1338	1338	804	793	874	930	627	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfotomaculum acetoxidans"	"S"	58138	1048	1048	603	710	857	863	750	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfotomaculum nigrificans"	"S"	1565	731	731	340	472	531	469	306	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfotomaculum reducens"	"S"	59610	615	615	405	367	430	418	395	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfotomaculum"
"Desulfitobacterium hafniense"	"S"	49338	2209	2209	1308	1283	1487	1430	998	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfitobacterium"
"Desulfitobacterium dehalogenans"	"S"	36854	1083	1083	653	749	848	757	503	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfitobacterium"
"Desulfitobacterium dichloroeliminans"	"S"	233055	905	905	448	598	673	550	444	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfitobacterium"
"Desulfitobacterium metallireducens"	"S"	142877	495	460	275	374	495	344	313	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfitobacterium"
"Dehalobacter restrictus"	"S"	55583	1075	1075	560	840	931	589	457	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Dehalobacter"
"Dehalobacter sp. CF"	"S"	1131462	110	110	37	65	83	67	29	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Dehalobacter"
"Dehalobacter sp. DCA"	"S"	1147129	82	82	69	63	75	58	60	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Dehalobacter"
"Desulfosporosinus orientis"	"S"	1563	986	986	550	616	836	621	523	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfosporosinus"
"Desulfosporosinus acidiphilus"	"S"	885581	807	807	466	504	673	573	442	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfosporosinus"
"Desulfosporosinus meridiei"	"S"	79209	581	581	347	384	530	399	374	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Desulfosporosinus"
"Syntrophobotulus glycolicus"	"S"	51197	1953	1953	1156	1049	1266	1188	697	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Syntrophobotulus"
"Pelotomaculum thermopropionicum"	"S"	110500	1309	1309	562	783	808	809	510	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Pelotomaculum"
"Thermincola potens"	"S"	863643	819	819	420	550	626	559	416	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Thermincola"
"Candidatus Desulforudis audaxviator"	"S"	471827	712	712	415	394	451	493	251	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Candidatus&nbsp;Desulforudis"
"[Eubacterium] eligens"	"S"	39485	8542	8542	5204	4982	6267	4954	3732	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Eubacterium"
"Eubacterium limosum"	"S"	1736	7543	7543	3841	4396	5142	4491	2856	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Eubacterium"
"Acetobacterium woodii"	"S"	33952	1139	1139	762	857	1095	963	630	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Acetobacterium"
"Clostridioides difficile"	"S"	1496	11628	7911	7042	9054	11628	9335	8303	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>Clostridioides"
"Peptoclostridium acidaminophilum"	"S"	1731	1148	1111	790	966	1148	962	720	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>Peptoclostridium"
"Acetoanaerobium sticklandii"	"S"	1511	940	751	783	672	940	707	866	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>Acetoanaerobium"
"Filifactor alocis"	"S"	143361	788	664	573	632	788	629	603	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>Filifactor"
"Thermaerobacter marianensis"	"S"	73919	1657	1657	859	1087	986	1261	771	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVII.&nbsp;Incertae&nbsp;Sedis>Thermaerobacter"
"[Eubacterium] sulci"	"S"	143393	944	944	600	676	791	682	520	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis"
"Symbiobacterium thermophilum"	"S"	2734	2107	2107	1064	1308	1250	1555	851	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Symbiobacteriaceae>Symbiobacterium"
"Heliobacterium modesticaldum"	"S"	35701	2071	2071	1162	1247	1344	1571	821	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Heliobacteriaceae>Heliobacterium"
"Syntrophomonas wolfei"	"S"	863	659	659	373	467	517	427	272	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Syntrophomonadaceae>Syntrophomonas"
"Syntrophothermus lipocalidus"	"S"	86170	383	383	255	195	234	265	155	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Syntrophomonadaceae>Syntrophothermus"
"Moorella thermoacetica"	"S"	1525	1044	1044	518	697	729	795	422	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Moorella&nbsp;group>Moorella"
"Ammonifex degensii"	"S"	42838	682	682	411	437	467	469	239	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Moorella&nbsp;group>Ammonifex"
"Thermoanaerobacter kivui"	"S"	2325	370	237	313	296	370	301	324	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter"
"Thermoanaerobacter wiegelii"	"S"	46354	236	177	224	136	236	195	218	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter"
"Thermoanaerobacter italicus"	"S"	108150	100	97	5	59	93	100	95	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter"
"Thermoanaerobacter sp. X513"	"S"	573062	162	90	127	96	162	113	161	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter"
"Thermoanaerobacter mathranii"	"S"	583357	100	43	36	41	60	58	100	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter"
"Thermoanaerobacter sp. X514"	"S"	399726	104	28	33	36	45	104	42	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter"
"Thermacetogenium phaeum"	"S"	85874	717	717	449	523	483	541	280	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermacetogenium"
"Tepidanaerobacter acetatoxydans"	"S"	499229	650	650	438	398	553	497	589	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Tepidanaerobacter"
"Carboxydothermus hydrogenoformans"	"S"	129958	551	551	397	367	473	387	342	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Carboxydothermus"
"Caldanaerobacter subterraneus"	"S"	911092	446	424	290	351	446	357	328	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Caldanaerobacter"
"Caldicellulosiruptor saccharolyticus"	"S"	44001	497	355	353	391	497	346	365	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Caldicellulosiruptor"
"Caldicellulosiruptor bescii"	"S"	31899	481	238	206	389	481	230	303	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Caldicellulosiruptor"
"Caldicellulosiruptor owensensis"	"S"	55205	291	235	157	211	291	197	249	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Caldicellulosiruptor"
"Caldicellulosiruptor kronotskyensis"	"S"	413889	284	234	130	201	270	216	284	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Caldicellulosiruptor"
"Caldicellulosiruptor hydrothermalis"	"S"	413888	261	233	216	232	261	250	239	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Caldicellulosiruptor"
"Caldicellulosiruptor kristjanssonii"	"S"	52765	185	185	124	102	144	123	121	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Caldicellulosiruptor"
"Caldicellulosiruptor obsidiansis"	"S"	717609	283	173	176	129	190	250	283	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Caldicellulosiruptor"
"Caldicellulosiruptor lactoaceticus"	"S"	52766	166	166	109	95	121	133	99	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Caldicellulosiruptor"
"Thermoanaerobacterium thermosaccharolyticum"	"S"	1517	1066	869	827	735	953	857	1066	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Thermoanaerobacterium"
"Thermoanaerobacterium xylanolyticum"	"S"	29329	503	503	402	341	423	400	462	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Thermoanaerobacterium"
"Thermosediminibacter oceani"	"S"	291990	667	667	340	349	466	517	293	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Thermosediminibacter"
"Mahella australiensis"	"S"	252966	779	779	555	506	579	588	436	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;IV.&nbsp;Incertae&nbsp;Sedis>Mahella"
