Pathway,1_BALBc0NI,2_BALBc3DPI,3_BALBc7DPI,3_BALBc10DPI,4_BALBc13DPI,5_BALBc16DPI
PWY-7111: pyruvate fermentation to isobutanol (engineered),5167.165768,3360.820226,5194.948097,3913.342559,4283.524581,4851.789361
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified,2355.537482,2393.138278,3967.709586,2584.925051,2911.375621,3625.71747
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Akkermansia.s__Akkermansia_muciniphila,246.328284,35.03639889,91.38808147,74.42029535,77.53839623,249.0076407
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,67.93469207,148.1072665,147.4263839,58.84811245,56.69244074,42.40220532
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2,25.94763792,23.87397881,12.41542923,36.86226435,36.89335927,25.30139693
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Acetatifactor.s__Acetatifactor_muris,17.42419622,17.66868351,56.33704645,25.14644008,24.62593386,43.06901989
VALSYN-PWY: L-valine biosynthesis,5167.165768,3360.820226,5194.948097,3913.342559,4283.524581,4851.789361
VALSYN-PWY: L-valine biosynthesis|unclassified,2355.537482,2393.138278,3967.709586,2584.925051,2911.375621,3625.71747
VALSYN-PWY: L-valine biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila,246.328284,43.69681426,91.51797507,74.42029535,80.66484693,249.0076407
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,67.93469207,148.1072665,147.4263839,58.84811245,56.69244074,42.40220532
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2,25.94763792,23.87397881,14.81083145,36.86226435,36.89335927,25.30139693
VALSYN-PWY: L-valine biosynthesis|g__Acetatifactor.s__Acetatifactor_muris,17.42419622,17.66868351,56.33704645,25.14644008,24.62593386,43.06901989
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),5005.991558,1645.662329,2888.434502,2156.307783,2333.485051,2433.161152
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|unclassified,1729.279046,1119.330311,1866.357687,1334.969465,1478.345279,2064.199669
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Lactobacillus.s__Lactobacillus_johnsonii,917.537537,143.7962273,382.5778858,63.54751572,60.86789421,8.356130316
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Akkermansia.s__Akkermansia_muciniphila,220.7740719,25.66064892,86.50961486,77.5971696,72.51492372,245.9690392
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,67.47272167,138.2094677,150.1055569,56.36395212,53.61400216,34.37619384
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Oscillibacter.s__Oscillibacter_sp_1_3,15.98731371,26.46871346,22.38504522,26.97258653,21.21133236,39.14926622
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2,12.64715573,10.61020318,14.82943613,11.64265168,12.68559896,11.2626937
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,4994.038812,2710.362846,4120.058957,3221.886685,3494.875589,4124.178761
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified,2389.422121,2004.758816,3008.818098,2158.621983,2327.235375,3309.666411
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Akkermansia.s__Akkermansia_muciniphila,194.180227,36.07540152,81.20265142,61.47146239,67.89054157,184.9045335
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,69.77795027,149.6750922,180.3124974,44.85304658,71.37882009,37.16323762
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Oscillibacter.s__Oscillibacter_sp_1_3,33.92018951,29.03331795,61.88751786,29.97828243,39.86335217,80.84627468
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis,4994.038812,2710.362846,4120.058957,3221.886685,3494.875589,4124.178761
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified,2389.422121,2004.758816,3008.818098,2158.621983,2327.235375,3309.666411
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila,194.180227,36.07540152,81.20265142,61.47146239,67.89054157,184.9045335
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,69.77795027,149.6750922,180.3124974,44.85304658,71.37882009,37.16323762
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Oscillibacter.s__Oscillibacter_sp_1_3,33.92018951,29.03331795,61.88751786,29.97828243,39.86335217,80.84627468
PWY-7221: guanosine ribonucleotides de novo biosynthesis,4935.335784,1983.401842,3156.239322,2713.095393,2788.718845,2931.67873
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified,2390.048894,1367.831712,1838.162736,1501.817604,1679.749879,2333.148728
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila,218.942866,18.59724165,99.06869007,77.85200588,93.39711163,204.5667916
PWY-6737: starch degradation V,4847.506317,1918.346044,2688.455048,1926.475857,2109.657436,2644.844296
PWY-6737: starch degradation V|unclassified,1881.505525,1254.046581,1873.624683,1389.085888,1542.990194,2296.715475
PWY-6737: starch degradation V|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,109.0948276,231.2905793,212.5485246,83.5077284,85.61466343,56.70442538
PWY-6737: starch degradation V|g__Oscillibacter.s__Oscillibacter_sp_1_3,9.94105212,18.41769497,32.16123538,20.40158081,23.41303132,56.74497351
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),4577.057042,2006.416108,3180.896193,2207.528048,2447.29374,2597.763802
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified,1815.978757,1199.479502,1769.529376,1179.305096,1350.483645,1975.097908
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Akkermansia.s__Akkermansia_muciniphila,217.6303197,32.49718817,91.23942591,66.54710578,55.17901647,212.6937054
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,71.85216978,195.7247156,187.5628382,54.94171291,63.52950536,40.39761117
PWY-6609: adenine and adenosine salvage III,4508.280389,2566.045895,4759.588297,3431.523749,3485.695596,3804.290565
PWY-6609: adenine and adenosine salvage III|unclassified,2602.066265,1913.115757,3194.689428,2305.532418,2371.995523,3280.707057
PWY-6609: adenine and adenosine salvage III|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,64.52775201,122.2082834,148.3287229,48.00136868,47.31532405,24.096132
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),4499.123101,1644.722144,2679.67689,1856.652012,2004.570159,1446.012374
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified,1516.395823,227.0179714,706.4862023,266.8499118,449.8921661,519.8622864
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),4449.929888,1763.22106,2860.425947,2099.101878,2313.991033,2129.104857
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified,1267.902793,911.1707228,1295.556807,923.6568694,998.4060146,1405.828978
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,69.80083125,208.7854056,194.142739,60.90349653,67.42421224,39.08366094
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),4395.096754,1939.327848,3044.367271,2099.007965,2321.507011,2466.70907
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified,1698.038151,1116.148314,1638.005152,1084.755713,1247.785123,1853.665063
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Akkermansia.s__Akkermansia_muciniphila,211.8410285,32.48057616,86.22295331,64.89815557,51.31720294,208.0535336
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,74.38336171,207.2969598,192.6771067,62.45020596,65.90655628,42.11039379
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),4267.144966,1733.483687,2890.563195,2072.555821,2266.758659,2193.802799
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified,1351.63594,941.6698906,1374.527238,973.4685433,1038.644167,1462.514583
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,71.85216978,195.7247156,187.5628382,54.94171291,63.52950536,40.39761117
1CMET2-PWY: folate transformations III (E. coli),4248.308637,1673.59576,2609.917884,1896.307033,2203.530298,2011.254216
1CMET2-PWY: folate transformations III (E. coli)|unclassified,1832.019375,887.9947135,1219.585634,790.1053886,835.8395062,1235.782284
1CMET2-PWY: folate transformations III (E. coli)|g__Akkermansia.s__Akkermansia_muciniphila,234.8327975,42.24581776,97.1379176,73.86246966,71.37867654,222.4884488
PWY-1042: glycolysis IV,4193.424842,2342.558527,3560.385069,3205.821409,3531.685753,3631.938495
PWY-1042: glycolysis IV|unclassified,2957.471983,1987.675268,2975.675673,2194.384399,2410.680415,3231.344334
COA-PWY: coenzyme A biosynthesis I (prokaryotic),4177.664064,1413.9074,2613.606614,1992.250844,2172.87727,2187.002573
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified,1532.078617,978.5657558,1655.029313,1173.649895,1328.476934,1851.531679
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Lactobacillus.s__Lactobacillus_johnsonii,857.5527274,141.6629241,370.2399741,63.54751572,57.47212679,7.797994801
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Akkermansia.s__Akkermansia_muciniphila,220.4326124,30.13924019,84.83850917,76.02031869,61.93280824,218.6136806
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,4159.895556,2171.492662,3396.216854,2775.497233,3047.484252,3307.880637
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified,2036.923563,1561.210567,2400.737438,1625.484116,1760.352635,2482.267451
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila,207.1245381,38.21653454,86.14648601,63.79527705,64.51562063,201.4974824
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,67.3629239,146.4160824,158.6233153,46.58545588,56.51008846,37.47487615
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Oscillibacter.s__Oscillibacter_sp_1_3,31.51568864,29.82513228,57.44921658,27.29142882,26.85361906,57.79514669
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),4139.346734,2430.961772,4050.471372,3111.428336,3413.052608,3780.068866
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified,1928.244424,1774.901835,2970.353976,2048.47548,2278.448296,2946.025047
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Akkermansia.s__Akkermansia_muciniphila,251.0568148,41.5534085,104.0246998,87.435041,77.92212708,256.919979
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,76.87636507,151.2656914,162.9831313,57.36742063,62.86928719,43.02172166
PWY-4242,4119.674978,1492.73724,2626.262154,1973.385354,2191.308052,2280.54828
PWY-4242|unclassified,1518.821843,897.2614471,1333.079539,977.4019244,1133.432211,1780.16651
NONMEVIPP-PWY: methylerythritol phosphate pathway I,4090.620148,1620.536666,2467.385321,2018.810834,2260.82147,2508.031043
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified,1959.379284,917.8191986,1613.415932,1100.774321,1271.293154,1978.684816
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,73.03902179,144.4180597,141.5265495,50.68345245,58.88505522,41.92758421
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),3986.318097,1721.783257,2938.19231,2041.046858,2150.126159,1815.82164
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified,1461.683797,311.8688048,198.505727,127.3514488,129.3806199,27.44934132
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),3941.127075,2374.980648,3955.849182,2952.753877,3217.305477,3610.506314
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified,1856.49521,1746.711025,2977.814527,2018.602035,2232.581256,2852.662563
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,67.66772368,129.0509246,158.6843474,50.73017288,63.86760039,41.50757274
PWY-7400: L-arginine biosynthesis IV (archaebacteria),3931.591596,2369.476995,3945.487593,2945.541905,3208.628848,3598.077694
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|unclassified,1854.5401,1744.05603,2973.362665,2014.94759,2227.446012,2845.015559
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,67.37655541,128.7822181,158.1549194,50.83204192,63.85301608,41.49084421
PWY-5484: glycolysis II (from fructose 6-phosphate),3865.471039,1411.913927,2397.619383,1625.728273,1703.903684,1287.766713
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified,1178.048658,171.9104979,102.8487069,65.7595399,66.73509409,13.7958901
PWY-5097: L-lysine biosynthesis VI,3820.825383,1840.215682,2597.694219,2140.555059,2309.072663,2832.505116
PWY-5097: L-lysine biosynthesis VI|unclassified,2060.126481,1367.283253,2088.584222,1396.680552,1518.439486,2326.948072
PWY-5097: L-lysine biosynthesis VI|g__Akkermansia.s__Akkermansia_muciniphila,214.9586819,30.87592768,111.7793661,65.81410669,67.74228435,233.4066554
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,3744.379744,1831.408493,3106.518305,2739.272104,2816.618142,3054.499169
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|unclassified,1663.137675,1383.966582,2569.277947,1733.066396,1869.76935,2435.659683
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila,225.2368536,43.78667192,88.72963471,72.63219189,78.25971203,234.9673223
PWY-2942: L-lysine biosynthesis III,3708.856938,1697.697737,2404.254724,1972.684448,2167.521856,2626.289673
PWY-2942: L-lysine biosynthesis III|unclassified,1400.145386,1185.566955,1875.219056,1242.57091,1368.023983,1984.56524
PWY-2942: L-lysine biosynthesis III|g__Akkermansia.s__Akkermansia_muciniphila,262.4214477,36.69965142,116.7109628,77.15226927,73.63951818,251.8073622
PWY-2942: L-lysine biosynthesis III|g__Acetatifactor.s__Acetatifactor_muris,10.75229059,9.264794804,23.20928486,9.416552102,10.47735479,26.6509756
ARO-PWY: chorismate biosynthesis I,3659.296092,1528.891033,2460.975043,1907.998319,2084.795207,2300.734934
ARO-PWY: chorismate biosynthesis I|unclassified,1720.229135,995.6706824,1538.536718,1032.059876,1129.502875,1804.563336
ARO-PWY: chorismate biosynthesis I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,59.24364608,162.9922368,158.9296415,60.22802904,52.84882467,38.20096709
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,3595.579424,1437.245676,2321.350228,1814.597403,1929.491276,2159.308451
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified,1706.652442,918.786173,1405.793974,953.1321258,1038.491877,1682.193921
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,57.83907173,164.465503,166.3169462,57.244081,50.75457995,38.30117573
PWY-6527: stachyose degradation,3321.872903,2089.721948,3657.675889,2483.655952,2807.730404,2804.833279
PWY-6527: stachyose degradation|unclassified,1509.294188,1549.410521,2437.650209,1810.678205,2060.472446,2279.00756
PWY-6527: stachyose degradation|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2,50.12479623,22.7281467,42.16378639,47.42841267,64.81677858,43.44429607
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",3147.731876,1317.952279,1836.673122,1652.639846,1798.3434,2145.945014
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|unclassified",1162.63451,873.818646,1355.508121,913.6248179,961.9931391,1622.998271
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),3141.333701,1053.13822,1906.578213,1684.387315,1833.781765,1740.644541
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)|unclassified,1532.342735,789.4577559,1283.36494,902.9328284,998.5295192,1392.242093
GLUTORN-PWY: L-ornithine biosynthesis I,2960.459752,1908.296995,2997.077733,2086.75899,2273.579275,2630.676717
GLUTORN-PWY: L-ornithine biosynthesis I|unclassified,1277.270065,1427.156246,2250.512511,1516.236704,1656.420067,2232.101413
GLUTORN-PWY: L-ornithine biosynthesis I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,56.54429633,133.5351141,140.3655409,61.98279845,54.10186323,35.20430325
PWY-6700: queuosine biosynthesis I (de novo),2919.671421,1494.387238,2752.467104,2498.134894,2699.879314,2438.951072
PWY-6700: queuosine biosynthesis I (de novo)|unclassified,1751.131145,1095.995428,1969.177119,1334.608788,1487.881052,1684.181528
PWY-6700: queuosine biosynthesis I (de novo)|g__Akkermansia.s__Akkermansia_muciniphila,261.5175882,38.82584582,96.77539162,86.38972778,90.80641669,264.9271962
PWY-6700: queuosine biosynthesis I (de novo)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,45.40545135,137.5546377,133.0635855,55.37380672,49.62439258,38.48002492
PWY-5100: pyruvate fermentation to acetate and lactate II,2789.896607,1155.790594,2101.658503,1308.620941,1557.918341,1315.50756
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified,809.7415736,722.1489306,1190.238536,852.7097945,1009.149442,1102.087294
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_3_2,40.10445013,18.85149971,18.36790884,47.99599154,45.99759388,37.53835346
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Acetatifactor.s__Acetatifactor_muris,26.21118341,46.66799036,63.49731492,29.87292852,46.69635396,58.12535795
PWY-5667: CDP-diacylglycerol biosynthesis I,2739.149665,1461.286744,2554.406595,1798.811964,1978.097198,1889.122365
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified,1521.326886,953.973906,1549.976708,1049.538855,1161.371764,1657.042459
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,69.0375543,165.8765306,151.1805775,65.09002197,44.44117487,53.18037804
PWY0-1319: CDP-diacylglycerol biosynthesis II,2739.149665,1461.286744,2554.406595,1798.811964,1978.097198,1889.122365
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified,1521.326886,953.973906,1549.976708,1049.538855,1161.371764,1657.042459
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,69.0375543,165.8765306,151.1805775,65.09002197,44.44117487,53.18037804
PWY-6317: D-galactose degradation I (Leloir pathway),2736.428361,1527.885585,2426.564761,1719.209223,1929.132094,1994.277413
PWY-6317: D-galactose degradation I (Leloir pathway)|unclassified,1374.561031,1158.181852,1644.558369,1241.364333,1412.914749,1737.516376
PWY66-422,2736.428361,1527.885585,2426.564761,1719.209223,1929.132094,1994.277413
PWY66-422|unclassified,1374.561031,1158.181852,1644.558369,1241.364333,1412.914749,1737.516376
PWY0-1296: purine ribonucleosides degradation,2701.594908,1993.949265,3726.841284,2810.598192,3078.386739,2801.382916
PWY0-1296: purine ribonucleosides degradation|unclassified,2061.19309,1664.905407,2781.253629,1865.594297,2110.959652,2489.515258
PWY0-1296: purine ribonucleosides degradation|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,65.18262911,126.1234146,150.5597338,47.76818646,51.26952893,25.95804273
PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_sp_ASF502,55.98184309,12.82866158,5.333739714,29.50613988,19.84905157,3.13059034
PWY0-1296: purine ribonucleosides degradation|g__Acetatifactor.s__Acetatifactor_muris,13.18468976,27.98928059,28.21590495,9.079279469,19.31117482,14.70432125
PWY-7199: pyrimidine deoxyribonucleosides salvage,2659.818929,1065.477128,1690.290507,1497.532749,1738.189362,1422.293504
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified,1489.637906,694.1808714,882.5861948,731.6755724,767.0517715,1236.928217
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),2548.074864,1361.910666,2224.676346,1986.907743,2115.03035,1740.423395
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified,1333.529613,1120.084833,1937.230565,1282.505253,1377.549399,1422.271379
CALVIN-PWY: Calvin-Benson-Bassham cycle,2426.676902,1335.630456,2445.58244,2179.69809,2361.765872,2351.276
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified,1251.436183,1099.398692,1881.499949,1309.091193,1330.100603,1883.872824
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants),2415.548402,1009.280463,1714.284345,1420.546109,1706.746246,1536.363647
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|unclassified,1159.837515,654.4082047,1128.005932,706.2009204,849.1827347,1129.181958
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Akkermansia.s__Akkermansia_muciniphila,232.3694054,44.74987442,123.5995072,81.29514974,81.42329939,237.2408784
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,72.2377532,137.55106,164.6832318,55.62373718,60.40293633,35.52582198
PWY-841: superpathway of purine nucleotides de novo biosynthesis I,2250.219159,324.4314199,545.6476398,1413.610483,1485.747253,574.7655244
PWY-5973: cis-vaccenate biosynthesis,2084.11084,409.914695,531.8831603,469.8798826,398.0093827,607.1972257
PWY-5973: cis-vaccenate biosynthesis|unclassified,1167.163642,224.265455,258.5367037,162.0997754,191.5265907,51.40854411
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),1499.888022,476.0111373,848.8636774,1002.073086,1063.957465,1025.439397
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|unclassified,329.5399901,273.7992553,553.668775,378.1812599,383.033322,656.3184062
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Akkermansia.s__Akkermansia_muciniphila,194.7877406,34.10705822,106.497858,64.10621214,61.05882747,207.333264
RHAMCAT-PWY: L-rhamnose degradation I,807.2297454,362.9370987,467.717946,406.3827461,417.055526,560.4012749
